id,label,message,clean_text
4619,falsa,Atualização de sistema necessária. Baixe o patch em rb.gy/st2c5d para continuar usando o serviço.,atualizacao de sistema necessaria baixe o patch em rbgystcd para continuar usando o servico
5987,veridica,Aviso de manutenção: o sistema ficará indisponível em segunda-feira das 11:00 às 08:30.,aviso de manutencao o sistema ficara indisponivel em segundafeira das as
1202,falsa,Seu CPF foi bloqueado por suspeita de fraude. Clique rb.gy/kb9z7f para desbloquear antes de quinta-feira.,seu cpf foi bloqueado por suspeita de fraude clique rbgykbzf para desbloquear antes de quintafeira
5078,veridica,Seu código de confirmação é 254432. Use este código para finalizar seu cadastro.,seu codigo de confirmacao e use este codigo para finalizar seu cadastro
5783,veridica,"Recarga realizada com sucesso. Crédito de R$ 4.826,00 adicionado ao número +55 (11) 9959-5249.",recarga realizada com sucesso credito de r adicionado ao numero
9574,veridica,"Recarga realizada com sucesso. Crédito de R$ 512,00 adicionado ao número +55 (11) 3679-1905.",recarga realizada com sucesso credito de r adicionado ao numero
8603,veridica,"Fatura gerada: Vencimento em terça-feira. Valor devido: R$ 2.853,00. Pague pelo app do banco.",fatura gerada vencimento em tercafeira valor devido r pague pelo app do banco
7782,veridica,"Olá Paulo Silva, sua solicitação foi recebida. Em breve nossa equipe entrará em contato.",ola paulo silva sua solicitacao foi recebida em breve nossa equipe entrara em contato
9024,veridica,Aviso de manutenção: o sistema ficará indisponível em terça-feira das 10:00 às 10:30.,aviso de manutencao o sistema ficara indisponivel em tercafeira das as
8128,veridica,SESC: Inscrição confirmada para o curso Python para Iniciantes em terça-feira. Boas-vindas!,sesc inscricao confirmada para o curso python para iniciantes em tercafeira boasvindas
4576,falsa,Atualize seus dados no banco: bit.ly/n2m3pr - Falha em 24h pode cancelar sua conta.,atualize seus dados no banco bitlynmpr falha em h pode cancelar sua conta
4440,falsa,"Transferência pedida no valor de R$ 1.868,00. Se não reconhece, acesse app.link/nkhxpk e cancele agora.",transferencia pedida no valor de r se nao reconhece acesse applinknkhxpk e cancele agora
559,falsa,Atualização de sistema necessária. Baixe o patch em oi.is/ohkk7q para continuar usando o serviço.,atualizacao de sistema necessaria baixe o patch em oiisohkkq para continuar usando o servico
6405,veridica,Seu código de confirmação é 551350. Use este código para finalizar seu cadastro.,seu codigo de confirmacao e use este codigo para finalizar seu cadastro
614,falsa,"CAIXA ECONOMICA: Agendado para quarta-feira TED p/Rafaela Santos valor 1.642,00 reais. Caso nao foi voce preserve a integridade da sua conta rb.gy/tlcqfm",caixa economica agendado para quartafeira ted prafaela santos valor reais caso nao foi voce preserve a integridade da sua conta rbgytlcqfm
4315,falsa,"Olá, sou do suporte técnico. Notamos atividade suspeita no seu aparelho. Autorize remoto em rb.gy/23c55k.",ola sou do suporte tecnico notamos atividade suspeita no seu aparelho autorize remoto em rbgyck
7730,veridica,"Recarga realizada com sucesso. Crédito de R$ 949,00 adicionado ao número +55 (51) 2979-2866.",recarga realizada com sucesso credito de r adicionado ao numero
44,falsa,"Seu código de segurança é 441021. Não compartilhe. Caso não pediu, acesse rb.gy/ht7pze.",seu codigo de seguranca e nao compartilhe caso nao pediu acesse rbgyhtpze
7139,veridica,Agendamento confirmado: Consulta com Dr. Gustavo Santos em quinta-feira às 21:00. Compareça 15 min antes.,agendamento confirmado consulta com dr gustavo santos em quintafeira as compareca min antes
8565,veridica,Promoção: Compre 2 e leve 3 na loja CasaTech. Válido até quinta-feira.,promocao compre e leve na loja casatech valido ate quintafeira
8690,veridica,Seu código de confirmação é 402555. Use este código para finalizar seu cadastro.,seu codigo de confirmacao e use este codigo para finalizar seu cadastro
482,falsa,Atualize seus dados no banco: app.link/zg92sj - Falha em 24h pode cancelar sua conta.,atualize seus dados no banco applinkzgsj falha em h pode cancelar sua conta
