id,label,message
79721,veridico,"Compra confirmada: CasaTech - Pedido Pedido #952428. Valor R$ 5.968,00. Acompanhe pelo app."
95366,veridico,Agendamento confirmado: Consulta com Dr. Fernanda Araujo em quarta-feira às 09:00. Comparecer 15min antes.
92087,veridico,"Bom dia, Olá Ana Gomes, sua solicitação foi recebida. Em breve nossa equipe entrará em contato."
8844,golpe,"Transferência nao autorizada R$7.814,00 — cancele em oi.is/2yia49c ou perdera a quantia."
21313,golpe,URGENTE: Bradesco detectou atividade suspeita na sua conta Isabela Ferreira. Acesse tinyurl.com/udrf6jt e confirme antes de quinta-feira.
87723,veridico,"Bradesco: TED agendado para segunda-feira no valor de R$ 354,00. Saldo após: R$ 11.294,00. Protocolo: 641578."
61116,veridico,"Olá, Nubank: TED agendado para quinta-feira no valor de R$ 3.892,00. Saldo após: R$ 5.079,00."
42434,golpe,Pagamento recusado: verifique seus dados em linktr.ee/5tte3fl caso contrario bloqueio.
81649,veridico,"Olá, Olá Camila Nunes, sua solicitação foi recebida. Em breve nossa equipe entrará em contato. Em caso de dúvidas ligue +55 (41) 6032-4140."
7004,golpe,"Entrega com taxa pendente R$6.250,00. Pagamento em tinyurl.com/dkxoq1k para finalizar. Aja agora"
7357,golpe,"Seu código de segurança é 704529. NUNCA compartilhe. Se não pediu, acesse tinyurl.com/egtz7aj. Aja agora"
73507,veridico,"Olá Lucas Martins, sua solicitação foi recebida. Em breve nossa equipe entrará em contato."
52946,veridico,"Recarga realizada com sucesso. Crédito de R$ 5.543,00 adicionado ao número +55 (31) 5138-5930."
23453,golpe,"Parabéns Lucas Cardoso! Você ganhou R$416,00. Resgate em linktr.ee/i0zi2ku / enviar dados agora. Nao responda a ninguem"
16278,golpe,"Parabéns Fernanda CARDOSO! Você ganhou R$1.704,00. Resgate em rb.gy/qtkfjma / enviar dados agora...."
22119,golpe,Atualize dados AGORA: bit.ly/b14um0c ou sua conta sera encerrada em sabado. 🙂
52998,veridico,Agendamento confirmado: Consulta com Dr. João Almeida em quinta-feira às 22:30. Comparecer 15min antes. Protocolo: 326953.
38071,golpe,Atualize dados agora: BIT.LY/VI2OMCF ou sua conta será encerrada em quarta-feira. 😐
18761,golpe,"Transferência não autorizada R$6.915,00 — cancele em bit.ly/54jn7ky ou perderá a quantia."
29199,golpe,"Entrega com taxa pendente R$6.067,00. Pagamento em rb.gy/znfx0z3 para finalizar. - atualize ja"
50201,veridico,Seu código de confirmação é 847964. Utilize para concluir seu cadastro.
59588,veridico,Seu código de confirmação é 538059. Utilize para concluir seu cadastro.
30777,golpe,"Você recebeu um PIX de R$5.064,00. Para reembolsar acesse linktr.ee/utuhm87 e confirme identidade. Nao responda a ninguem"
50723,veridico,Entrega realizada: seu pedido Pedido #203018 foi entregue hoje às 22:30. Agradecemos a preferência!
31056,golpe,Atualize DADOS agora: bit.ly/xu59ls9 ou sua conta será encerrada em sábado. 🚨 Nao responda a ninguem
99799,veridico,Seu codigo de confirmacao e 581740. Utilize para concluir seu cadastro.
32301,golpe,"Você recebeu um PIX de R$3.835,00. Para reembolsar acesse tinyurl.com/l3l2u3e e confirme identidade."
1125,golpe,"Você recebeu um PIX de R$7.511,00. Para reembolsar acesse oi.is/j6tidu9 e confirme identidade."
17774,golpe,Suporte técnico: autorização remota pendente. Conecte-se em app.link/q4xivrv para resolver.
85514,veridico,"Recarga realizada com sucesso. Crédito de R$ 1.439,00 adicionado ao número +55 (27) 6982-9583."
1681,golpe,URGENTE: Banco do Brasil detectou atividade suspeita na sua conta Bruno Silva. Acesse linktr.ee/5ak3xxb e confirme antes de amanhã....
890,golpe,"Entrega com taxa pendente R$7.169,00. Pagamento em oi.is/ hvu942k para finalizar. Urgente"
64830,veridico,"Compra confirmada: Casa e Cia - Pedido Pedido #678920. Valor R$ 2.798,00. Acompanhe pelo app. Em caso de dúvidas ligue +55 (41) 8199-1271."
78090,veridico,"Bom dia, Entrega realizada: seu pedido Pedido #577169 foi entregue hoje às 19:45. Agradecemos a preferência!"
35092,golpe,"Transferência não autorizada R$88,00 — cancele em bit.ly/vxp5qqu ou perderá a quantia. Aja agora"
